pdbID	chainID	DESCRIPTION	VIRUS
5w9k	G	 Spike glycoprotein	MERS-CoV
5w9k	D	 Spike glycoprotein	MERS-CoV
5w9k	A	 Spike glycoprotein	MERS-CoV
5w9j	L	 Spike glycoprotein	MERS-CoV
5w9j	K	 Spike glycoprotein	MERS-CoV
5w9j	J	 Spike glycoprotein	MERS-CoV
5w9j	G	 Spike glycoprotein	MERS-CoV
5w9j	A	 Spike glycoprotein	MERS-CoV
5w9j	D	 Spike glycoprotein	MERS-CoV
5w9i	J	 Spike glycoprotein	MERS-CoV
5w9i	I	 Spike glycoprotein	MERS-CoV
5w9i	F	 Spike glycoprotein	MERS-CoV
5w9i	E	 Spike glycoprotein	MERS-CoV
5w9i	B	 Spike glycoprotein	MERS-CoV
5w9i	A	 Spike glycoprotein	MERS-CoV
5w9h	r	 MERS S	MERS-CoV
5w9h	q	 MERS S	MERS-CoV
5w9h	p	 MERS S	MERS-CoV
5w9h	G	 MERS S	MERS-CoV
5w9h	D	 MERS S	MERS-CoV
5w9h	A	 MERS S	MERS-CoV
5x5f	C	 S protein	MERS-CoV
5x5f	B	 S protein	MERS-CoV
5x5f	A	 S protein	MERS-CoV
5x5c	C	 S protein	MERS-CoV
5x5c	B	 S protein	MERS-CoV
5x5c	A	 S protein	MERS-CoV
5x59	C	 S protein	MERS-CoV
5x59	B	 S protein	MERS-CoV
5x59	A	 S protein	MERS-CoV
7m5e	E	 Spike glycoprotein	MERS-CoV
7m5e	C	 Spike glycoprotein	MERS-CoV
7m5e	A	 Spike glycoprotein	MERS-CoV
6q07	C	 Spike glycoprotein	MERS-CoV
6q07	B	 Spike glycoprotein	MERS-CoV
6q07	A	 Spike glycoprotein	MERS-CoV
6q06	C	 Spike glycoprotein	MERS-CoV
6q06	B	 Spike glycoprotein	MERS-CoV
6q06	A	 Spike glycoprotein	MERS-CoV
6q05	C	 Spike glycoprotein	MERS-CoV
6q05	B	 Spike glycoprotein	MERS-CoV
6q05	A	 Spike glycoprotein	MERS-CoV
6q04	C	 Spike glycoprotein	MERS-CoV
6q04	B	 Spike glycoprotein	MERS-CoV
6q04	A	 Spike glycoprotein	MERS-CoV
6nb4	C	 Spike glycoprotein	MERS-CoV
6nb4	B	 Spike glycoprotein	MERS-CoV
6nb4	A	 Spike glycoprotein	MERS-CoV
6nb3	C	 Spike glycoprotein	MERS-CoV
6nb3	B	 Spike glycoprotein	MERS-CoV
6nb3	A	 Spike glycoprotein	MERS-CoV
6pz8	F	 S protein	MERS-CoV
6pz8	J	 S protein	MERS-CoV
6pz8	B	 S protein	MERS-CoV
6pz8	I	 S protein	MERS-CoV
6pz8	E	 S protein	MERS-CoV
6pz8	A	 S protein	MERS-CoV
5x4r	A	 S protein	MERS-CoV
5vyh	A	 S protein	MERS-CoV
6pxh	B	 MERS-CoV S1-NTD	MERS-CoV
6pxh	A	 MERS-CoV S1-NTD	MERS-CoV
6j11	C	 N-terminal domain of Spike glycoprotein	MERS-CoV
6j11	B	 N-terminal domain of Spike glycoprotein	MERS-CoV
6j11	A	 N-terminal domain of Spike glycoprotein	MERS-CoV
7c02	B	 Spike glycoprotein	MERS-CoV
7c02	A	 Spike glycoprotein	MERS-CoV
6l8q	H	 Spike glycoprotein	MERS-CoV
6l8q	F	 Spike glycoprotein	MERS-CoV
6l8q	D	 Spike glycoprotein	MERS-CoV
6l8q	B	 Spike glycoprotein	MERS-CoV
5do2	B	 S protein	MERS-CoV
5do2	A	 S protein	MERS-CoV
4kr0	B	 S protein	MERS-CoV
4kqz	B	 S protein	MERS-CoV
4kqz	A	 S protein	MERS-CoV
4xak	B	 Spike glycoprotein	MERS-CoV
4xak	A	 Spike glycoprotein	MERS-CoV
4zs6	B	 S protein	MERS-CoV
4zs6	A	 S protein	MERS-CoV
7coe	D	 Spike glycoprotein	MERS-CoV
7coe	A	 Spike glycoprotein	MERS-CoV
5gmq	A	 S protein	MERS-CoV
6war	O	 Spike protein	MERS-CoV
6war	M	 Spike protein	MERS-CoV
6war	K	 Spike protein	MERS-CoV
6war	I	 Spike protein	MERS-CoV
6war	G	 Spike protein	MERS-CoV
6war	E	 Spike protein	MERS-CoV
6war	C	 Spike protein	MERS-CoV
6war	A	 Spike protein	MERS-CoV
6c6z	B	 Spike protein	MERS-CoV
6c6z	A	 Spike protein	MERS-CoV
7q0a	C	 Spike glycoprotein,Spike ectodomain,Spike protein S2'	SARS-CoV-2
7q0a	B	 Spike glycoprotein,Spike ectodomain,Spike protein S2'	SARS-CoV-2
7q0a	A	 Spike glycoprotein,Spike ectodomain,Spike protein S2'	SARS-CoV-2
6lxt	F	 Spike protein S2, Spike protein S2	SARS-CoV-2
6lxt	E	 Spike protein S2, Spike protein S2	SARS-CoV-2
6lxt	D	 Spike protein S2, Spike protein S2	SARS-CoV-2
6lxt	C	 Spike protein S2, Spike protein S2	SARS-CoV-2
6lxt	B	 Spike protein S2, Spike protein S2	SARS-CoV-2
6lxt	A	 Spike protein S2, Spike protein S2	SARS-CoV-2
6lvn	D	 Spike protein S2'	SARS-CoV-2
6lvn	C	 Spike protein S2'	SARS-CoV-2
6lvn	B	 Spike protein S2'	SARS-CoV-2
6lvn	A	 Spike protein S2'	SARS-CoV-2
7r10	A	 Spike glycoprotein	SARS-CoV-2
7r1a	C	 Spike glycoprotein	SARS-CoV-2
7r1a	B	 Spike glycoprotein	SARS-CoV-2
7r1a	A	 Spike glycoprotein	SARS-CoV-2
7r15	C	 Spike glycoprotein	SARS-CoV-2
7r15	B	 Spike glycoprotein	SARS-CoV-2
7r15	A	 Spike glycoprotein	SARS-CoV-2
7wvo	C	 Spike glycoprotein	SARS-CoV-2
7wvo	B	 Spike glycoprotein	SARS-CoV-2
7wvo	A	 Spike glycoprotein	SARS-CoV-2
7wvn	C	 Spike glycoprotein	SARS-CoV-2
7wvn	B	 Spike glycoprotein	SARS-CoV-2
7wvn	A	 Spike glycoprotein	SARS-CoV-2
7thk	C	 Spike glycoprotein	SARS-CoV-2
7thk	B	 Spike glycoprotein	SARS-CoV-2
7thk	A	 Spike glycoprotein	SARS-CoV-2
7vyr	C	 Spike protein S1	SARS-CoV-2
7vyr	R	 Spike protein S1	SARS-CoV-2
7x08	C	 Spike glycoprotein	SARS-CoV-2
7x08	B	 Spike glycoprotein	SARS-CoV-2
7x08	A	 Spike glycoprotein	SARS-CoV-2
7q1z	C	 Spike glycoprotein	SARS-CoV-2
7q1z	B	 Spike glycoprotein	SARS-CoV-2
7q1z	A	 Spike glycoprotein	SARS-CoV-2
7r12	A	 Spike glycoprotein	SARS-CoV-2
7r1b	C	 Spike glycoprotein	SARS-CoV-2
7r1b	B	 Spike glycoprotein	SARS-CoV-2
7r1b	A	 Spike glycoprotein	SARS-CoV-2
7r19	C	 Spike glycoprotein	SARS-CoV-2
7r19	B	 Spike glycoprotein	SARS-CoV-2
7r19	A	 Spike glycoprotein	SARS-CoV-2
7tgy	C	 Spike glycoprotein	SARS-CoV-2
7tgy	B	 Spike glycoprotein	SARS-CoV-2
7tgy	A	 Spike glycoprotein	SARS-CoV-2
7tgx	B	 Spike glycoprotein	SARS-CoV-2
7tgx	A	 Spike glycoprotein	SARS-CoV-2
7tgx	C	 Spike glycoprotein	SARS-CoV-2
7e9q	C	 Spike glycoprotein	SARS-CoV-2
7e9q	A	 Spike glycoprotein	SARS-CoV-2
7e9q	B	 Spike glycoprotein	SARS-CoV-2
7e9o	C	 Spike glycoprotein	SARS-CoV-2
7e9o	A	 Spike glycoprotein	SARS-CoV-2
7e9o	B	 Spike glycoprotein	SARS-CoV-2
7r0z	A	 Spike glycoprotein	SARS-CoV-2
7r14	C	 Spike glycoprotein	SARS-CoV-2
7r14	B	 Spike glycoprotein	SARS-CoV-2
7r14	A	 Spike glycoprotein	SARS-CoV-2
7r13	C	 Spike glycoprotein	SARS-CoV-2
7r13	B	 Spike glycoprotein	SARS-CoV-2
7r13	A	 Spike glycoprotein	SARS-CoV-2
7r17	C	 Spike glycoprotein	SARS-CoV-2
7r17	B	 Spike glycoprotein	SARS-CoV-2
7r17	A	 Spike glycoprotein	SARS-CoV-2
7r16	C	 Spike glycoprotein	SARS-CoV-2
7r16	B	 Spike glycoprotein	SARS-CoV-2
7r16	A	 Spike glycoprotein	SARS-CoV-2
7r11	A	 Spike glycoprotein	SARS-CoV-2
7wpc	B	 Spike glycoprotein	SARS-CoV-2
7wpc	A	 Spike glycoprotein	SARS-CoV-2
7wpb	A	 Spike glycoprotein	SARS-CoV-2
7wpa	C	 Spike glycoprotein	SARS-CoV-2
7wpa	B	 Spike glycoprotein	SARS-CoV-2
7wpa	A	 Spike glycoprotein	SARS-CoV-2
7wp9	C	 Spike glycoprotein	SARS-CoV-2
7wp9	B	 Spike glycoprotein	SARS-CoV-2
7wp9	A	 Spike glycoprotein	SARS-CoV-2
7tgw	C	 Spike glycoprotein	SARS-CoV-2
7tgw	B	 Spike glycoprotein	SARS-CoV-2
7tgw	A	 Spike glycoprotein	SARS-CoV-2
7r18	C	 Spike glycoprotein	SARS-CoV-2
7r18	B	 Spike glycoprotein	SARS-CoV-2
7r18	A	 Spike glycoprotein	SARS-CoV-2
7tge	C	 Spike glycoprotein	SARS-CoV-2
7tge	B	 Spike glycoprotein	SARS-CoV-2
7tge	A	 Spike glycoprotein	SARS-CoV-2
7s5r	A	 Spike protein S1	SARS-CoV-2
7s5q	A	 Spike protein S1	SARS-CoV-2
7s5p	A	 Spike protein S1	SARS-CoV-2
7mw6	B	 Spike glycoprotein	SARS-CoV-2
7mw6	C	 Spike glycoprotein	SARS-CoV-2
7mw6	A	 Spike glycoprotein	SARS-CoV-2
7mw5	A	 Spike glycoprotein	SARS-CoV-2
7mw5	B	 Spike glycoprotein	SARS-CoV-2
7mw5	C	 Spike glycoprotein	SARS-CoV-2
7mw4	B	 Spike glycoprotein	SARS-CoV-2
7mw4	A	 Spike glycoprotein	SARS-CoV-2
7mw4	C	 Spike glycoprotein	SARS-CoV-2
7mw3	A	 Spike glycoprotein	SARS-CoV-2
7mw3	B	 Spike glycoprotein	SARS-CoV-2
7mw3	C	 Spike glycoprotein	SARS-CoV-2
7mw2	B	 Spike glycoprotein	SARS-CoV-2
7mw2	C	 Spike glycoprotein	SARS-CoV-2
7mw2	A	 Spike glycoprotein	SARS-CoV-2
7tez	B	 Spike glycoprotein	SARS-CoV-2
7tey	C	 Spike glycoprotein	SARS-CoV-2
7tey	B	 Spike glycoprotein	SARS-CoV-2
7tey	A	 Spike glycoprotein	SARS-CoV-2
7tew	B	 Spike glycoprotein	SARS-CoV-2
7wpf	C	 Spike glycoprotein	SARS-CoV-2
7wpf	B	 Spike glycoprotein	SARS-CoV-2
7wpf	A	 Spike glycoprotein	SARS-CoV-2
7wpd	C	 Spike glycoprotein	SARS-CoV-2
7wpd	B	 Spike glycoprotein	SARS-CoV-2
7wpd	A	 Spike glycoprotein	SARS-CoV-2
7wue	B	 Spike protein S1	SARS-CoV-2
7wue	A	 Spike protein S1	SARS-CoV-2
7owx	D	 Spike protein S2	SARS-CoV-2
7owx	C	 Spike protein S2	SARS-CoV-2
7owx	B	 Spike protein S2	SARS-CoV-2
7owx	A	 Spike protein S2	SARS-CoV-2
7f46	B	 Spike glycoprotein	SARS-CoV-2
7f46	C	 Spike glycoprotein	SARS-CoV-2
7e9p	B	 Spike glycoprotein	SARS-CoV-2
7wuh	E	 Spike glycoprotein	SARS-CoV-2
7wuh	C	 Spike glycoprotein	SARS-CoV-2
7wuh	A	 Spike glycoprotein	SARS-CoV-2
7wrv	C	 Spike glycoprotein	SARS-CoV-2
7wpe	C	 Spike glycoprotein	SARS-CoV-2
7wpe	B	 Spike glycoprotein	SARS-CoV-2
7wpe	A	 Spike glycoprotein	SARS-CoV-2
7rby	C	 Spike protein S1	SARS-CoV-2
7rby	A	 Spike protein S1	SARS-CoV-2
7z1e	E	 Spike protein S1	SARS-CoV-2
7z1d	E	 Spike protein S1	SARS-CoV-2
7z1c	C	 Spike protein S1	SARS-CoV-2
7z1c	A	 Spike protein S1	SARS-CoV-2
7z1b	C	 Spike protein S1	SARS-CoV-2
7z1b	A	 Spike protein S1	SARS-CoV-2
7z1a	C	 Spike protein S1	SARS-CoV-2
7z1a	A	 Spike protein S1	SARS-CoV-2
7ny5	G	 Spike glycoprotein	SARS-CoV-2
7ny5	E	 Spike glycoprotein	SARS-CoV-2
7ny5	A	 Spike glycoprotein	SARS-CoV-2
7tb8	C	 Spike glycoprotein	SARS-CoV-2
7tb8	B	 Spike glycoprotein	SARS-CoV-2
7tb8	A	 Spike glycoprotein	SARS-CoV-2
7tf5	F	 Spike glycoprotein	SARS-CoV-2
7tf5	E	 Spike glycoprotein	SARS-CoV-2
7tf5	D	 Spike glycoprotein	SARS-CoV-2
7tf5	C	 Spike glycoprotein	SARS-CoV-2
7tf5	B	 Spike glycoprotein	SARS-CoV-2
7tf5	A	 Spike glycoprotein	SARS-CoV-2
7tf4	F	 Spike glycoprotein	SARS-CoV-2
7tf4	E	 Spike glycoprotein	SARS-CoV-2
7tf4	D	 Spike glycoprotein	SARS-CoV-2
7tf4	C	 Spike glycoprotein	SARS-CoV-2
7tf4	B	 Spike glycoprotein	SARS-CoV-2
7tf4	A	 Spike glycoprotein	SARS-CoV-2
7tf0	C	 Spike glycoprotein	SARS-CoV-2
7tf0	B	 Spike glycoprotein	SARS-CoV-2
7tf0	A	 Spike glycoprotein	SARS-CoV-2
7tf3	C	 Spike glycoprotein	SARS-CoV-2
7tf3	B	 Spike glycoprotein	SARS-CoV-2
7tf3	A	 Spike glycoprotein	SARS-CoV-2
7tf2	F	 Spike glycoprotein	SARS-CoV-2
7tf2	E	 Spike glycoprotein	SARS-CoV-2
7tf2	D	 Spike glycoprotein	SARS-CoV-2
7tf2	C	 Spike glycoprotein	SARS-CoV-2
7tf2	B	 Spike glycoprotein	SARS-CoV-2
7tf2	A	 Spike glycoprotein	SARS-CoV-2
7tf1	F	 Spike glycoprotein	SARS-CoV-2
7tf1	E	 Spike glycoprotein	SARS-CoV-2
7tf1	D	 Spike glycoprotein	SARS-CoV-2
7tf1	C	 Spike glycoprotein	SARS-CoV-2
7tf1	B	 Spike glycoprotein	SARS-CoV-2
7tf1	A	 Spike glycoprotein	SARS-CoV-2
7tex	C	 Spike glycoprotein	SARS-CoV-2
7tex	B	 Spike glycoprotein	SARS-CoV-2
7tex	A	 Spike glycoprotein	SARS-CoV-2
7tcc	C	 Spike glycoprotein	SARS-CoV-2
7tcc	B	 Spike glycoprotein	SARS-CoV-2
7tcc	A	 Spike glycoprotein	SARS-CoV-2
7tca	C	 Spike glycoprotein	SARS-CoV-2
7tca	B	 Spike glycoprotein	SARS-CoV-2
7tca	A	 Spike glycoprotein	SARS-CoV-2
7wph	B	 Spike protein S1	SARS-CoV-2
7wph	A	 Spike protein S1	SARS-CoV-2
7te1	E	 Spike protein S1	SARS-CoV-2
7te1	D	 Spike protein S1	SARS-CoV-2
7tbf	A	 Spike glycoprotein	SARS-CoV-2
7eng	B	 Spike glycoprotein	SARS-CoV-2
7enf	C	 Spike glycoprotein	SARS-CoV-2
7enf	B	 Spike glycoprotein	SARS-CoV-2
7enf	A	 Spike glycoprotein	SARS-CoV-2
7wvq	B	 Spike glycoprotein	SARS-CoV-2
7wvq	C	 Spike glycoprotein	SARS-CoV-2
7wvq	D	 Spike glycoprotein	SARS-CoV-2
7wvp	D	 Spike glycoprotein	SARS-CoV-2
7wvp	C	 Spike glycoprotein	SARS-CoV-2
7wvp	B	 Spike glycoprotein	SARS-CoV-2
7e9n	C	 Spike glycoprotein	SARS-CoV-2
7e9n	A	 Spike glycoprotein	SARS-CoV-2
7e9n	B	 Spike glycoprotein	SARS-CoV-2
7tik	F	 Spike protein S2'	SARS-CoV-2
7tik	E	 Spike protein S2'	SARS-CoV-2
7tik	D	 Spike protein S2'	SARS-CoV-2
7rzv	F	 Spike protein S2'	SARS-CoV-2
7rzv	E	 Spike protein S2'	SARS-CoV-2
7rzv	D	 Spike protein S2'	SARS-CoV-2
7rzu	F	 Spike protein S2'	SARS-CoV-2
7rzu	E	 Spike protein S2'	SARS-CoV-2
7rzu	D	 Spike protein S2'	SARS-CoV-2
7rzt	F	 Spike protein S2'	SARS-CoV-2
7rzt	E	 Spike protein S2'	SARS-CoV-2
7rzt	D	 Spike protein S2'	SARS-CoV-2
7rzs	F	 Spike protein S2'	SARS-CoV-2
7rzs	E	 Spike protein S2'	SARS-CoV-2
7rzs	D	 Spike protein S2'	SARS-CoV-2
7rzr	F	 Spike protein S2'	SARS-CoV-2
7rzr	E	 Spike protein S2'	SARS-CoV-2
7rzr	D	 Spike protein S2'	SARS-CoV-2
7rzq	F	 Spike protein S2'	SARS-CoV-2
7rzq	E	 Spike protein S2'	SARS-CoV-2
7rzq	D	 Spike protein S2'	SARS-CoV-2
7fjo	C	 Spike glycoprotein	SARS-CoV-2
7fjo	B	 Spike glycoprotein	SARS-CoV-2
7fjo	A	 Spike glycoprotein	SARS-CoV-2
7ejy	R	 Spike protein S1	SARS-CoV-2
7ejz	R	 Spike protein S1	SARS-CoV-2
7ek0	R	 Spike protein S1	SARS-CoV-2
7t01	A	 Spike protein S1	SARS-CoV-2
7z0y	R	 Spike protein S1	SARS-CoV-2
7z0x	R	 Surface glycoprotein	SARS-CoV-2
7x7d	E	 Spike protein S1	SARS-CoV-2
7x7d	A	 Spike protein S1	SARS-CoV-2
7x7d	D	 Spike protein S1	SARS-CoV-2
7raq	P	 spike stem helix peptide	SARS-CoV-2
7rq6	C	 Spike glycoprotein	SARS-CoV-2
7rq6	B	 Spike glycoprotein	SARS-CoV-2
7rq6	A	 Spike glycoprotein	SARS-CoV-2
7r40	C	 Spike glycoprotein	SARS-CoV-2
7r40	B	 Spike glycoprotein	SARS-CoV-2
7r40	A	 Spike glycoprotein	SARS-CoV-2
7ub6	C	 Spike glycoprotein	SARS-CoV-2
7ub6	B	 Spike glycoprotein	SARS-CoV-2
7ub6	A	 Spike glycoprotein	SARS-CoV-2
7ub5	C	 Spike glycoprotein	SARS-CoV-2
7ub5	B	 Spike glycoprotein	SARS-CoV-2
7ub5	A	 Spike glycoprotein	SARS-CoV-2
7ub0	C	 Spike glycoprotein	SARS-CoV-2
7ub0	B	 Spike glycoprotein	SARS-CoV-2
7ub0	A	 Spike glycoprotein	SARS-CoV-2
7tpr	C	 Spike glycoprotein	SARS-CoV-2
7tpr	B	 Spike glycoprotein	SARS-CoV-2
7tpr	A	 Spike glycoprotein	SARS-CoV-2
7x7e	F	 Spike protein S1	SARS-CoV-2
7x7e	D	 Spike protein S1	SARS-CoV-2
7x7e	C	 Spike protein S1	SARS-CoV-2
7x7n	A	 Spike glycoprotein	SARS-CoV-2
7x7n	C	 Spike glycoprotein	SARS-CoV-2
7x7n	B	 Spike glycoprotein	SARS-CoV-2
7uar	C	 Spike glycoprotein	SARS-CoV-2
7uar	B	 Spike glycoprotein	SARS-CoV-2
7uar	A	 Spike glycoprotein	SARS-CoV-2
7uaq	A	 Spike glycoprotein	SARS-CoV-2
7uap	C	 Spike glycoprotein	SARS-CoV-2
7uap	B	 Spike glycoprotein	SARS-CoV-2
7uap	A	 Spike glycoprotein	SARS-CoV-2
7fjn	C	 Spike glycoprotein,Envelope glycoprotein	SARS-CoV-2
7fjn	B	 Spike glycoprotein,Envelope glycoprotein	SARS-CoV-2
7fjn	A	 Spike glycoprotein,Envelope glycoprotein	SARS-CoV-2
7sd5	A	 Spike protein S1	SARS-CoV-2
7si2	C	 Spike protein S1	SARS-CoV-2
7si2	B	 Spike protein S1	SARS-CoV-2
7si2	A	 Spike protein S1	SARS-CoV-2
7swp	A	 Spike protein S1	SARS-CoV-2
7swo	A	 Spike protein S1	SARS-CoV-2
7swn	A	 Spike protein S1	SARS-CoV-2
7fjs	B	 Spike protein S1	SARS-CoV-2
7fjs	E	 Spike protein S1	SARS-CoV-2
7wee	E	 Spike glycoprotein	SARS-CoV-2
7wec	C	 Spike glycoprotein	SARS-CoV-2
7wec	B	 Spike glycoprotein	SARS-CoV-2
7wec	A	 Spike glycoprotein	SARS-CoV-2
7web	D	 Spike glycoprotein	SARS-CoV-2
7web	C	 Spike glycoprotein	SARS-CoV-2
7web	B	 Spike glycoprotein	SARS-CoV-2
7wea	C	 Spike glycoprotein	SARS-CoV-2
7wea	B	 Spike glycoprotein	SARS-CoV-2
7wea	A	 Spike glycoprotein	SARS-CoV-2
7we9	F	 Spike glycoprotein	SARS-CoV-2
7we9	B	 Spike glycoprotein	SARS-CoV-2
7we9	A	 Spike glycoprotein	SARS-CoV-2
7we8	C	 Spike glycoprotein	SARS-CoV-2
7we8	B	 Spike glycoprotein	SARS-CoV-2
7we8	A	 Spike glycoprotein	SARS-CoV-2
7we7	G	 Spike glycoprotein	SARS-CoV-2
7we7	E	 Spike glycoprotein	SARS-CoV-2
7we7	D	 Spike glycoprotein	SARS-CoV-2
7z3z	C	 Spike glycoprotein	SARS-CoV-2
7z3z	B	 Spike glycoprotein	SARS-CoV-2
7z3z	A	 Spike glycoprotein	SARS-CoV-2
7rbv	C	 Spike glycoprotein	SARS-CoV-2
7rbv	B	 Spike glycoprotein	SARS-CoV-2
7rbv	A	 Spike glycoprotein	SARS-CoV-2
7rbu	B	 Spike protein S1	SARS-CoV-2
7urs	A	 Spike protein S1	SARS-CoV-2
7urq	A	 Spike protein S1	SARS-CoV-2
7u2e	A	 Spike protein S1	SARS-CoV-2
7u2d	A	 Spike protein S1	SARS-CoV-2
7s6l	C	 Spike glycoprotein	SARS-CoV-2
7s6l	B	 Spike glycoprotein	SARS-CoV-2
7s6l	A	 Spike glycoprotein	SARS-CoV-2
7s6k	E	 Spike glycoprotein	SARS-CoV-2
7s6k	B	 Spike glycoprotein	SARS-CoV-2
7s6k	A	 Spike glycoprotein	SARS-CoV-2
7s6j	E	 Spike glycoprotein	SARS-CoV-2
7s6j	B	 Spike glycoprotein	SARS-CoV-2
7s6j	A	 Spike glycoprotein	SARS-CoV-2
7s6i	C	 Spike glycoprotein	SARS-CoV-2
7s6i	B	 Spike glycoprotein	SARS-CoV-2
7s6i	A	 Spike glycoprotein	SARS-CoV-2
7whk	C	 Spike glycoprotein	SARS-CoV-2
7whk	B	 Spike glycoprotein	SARS-CoV-2
7whk	A	 Spike glycoprotein	SARS-CoV-2
7whj	C	 Spike glycoprotein	SARS-CoV-2
7whj	B	 Spike glycoprotein	SARS-CoV-2
7whj	A	 Spike glycoprotein	SARS-CoV-2
7whi	C	 Spike glycoprotein	SARS-CoV-2
7whi	B	 Spike glycoprotein	SARS-CoV-2
7whi	A	 Spike glycoprotein	SARS-CoV-2
7sbu	A	 Spike protein S1	SARS-CoV-2
7x9e	F	 Spike peptide	SARS-CoV-2
7x9e	E	 Spike peptide	SARS-CoV-2
7epx	C	 Spike glycoprotein	SARS-CoV-2
7epx	B	 Spike glycoprotein	SARS-CoV-2
7epx	A	 Spike glycoprotein	SARS-CoV-2
7wg6	C	 Spike glycoprotein	SARS-CoV-2
7wg6	A	 Spike glycoprotein	SARS-CoV-2
7wg6	B	 Spike glycoprotein	SARS-CoV-2
7zdq	B	 Spike protein S1	SARS-CoV-2
7qf1	F	 Spike protein S1	SARS-CoV-2
7qf1	A	 Spike protein S1	SARS-CoV-2
7qf0	A	 Spike protein S1	SARS-CoV-2
7qez	A	 Spike protein S1	SARS-CoV-2
7fat	A	 Spike protein S1	SARS-CoV-2
7mxp	C	 Spike glycoprotein	SARS-CoV-2
7mxp	B	 Spike glycoprotein	SARS-CoV-2
7mxp	A	 Spike glycoprotein	SARS-CoV-2
7qdh	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
7qdh	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
7qdh	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
7qdg	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
7qdg	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
7qdg	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
7wlz	C	 Spike glycoprotein	SARS-CoV-2
7wlz	B	 Spike glycoprotein	SARS-CoV-2
7wlz	A	 Spike glycoprotein	SARS-CoV-2
7wly	C	 Spike glycoprotein	SARS-CoV-2
7wly	B	 Spike glycoprotein	SARS-CoV-2
7wly	A	 Spike glycoprotein	SARS-CoV-2
7x7o	D	 Spike protein S1	SARS-CoV-2
7x7o	C	 Spike protein S1	SARS-CoV-2
7x7o	B	 Spike protein S1	SARS-CoV-2
7x7o	A	 Spike protein S1	SARS-CoV-2
7f5g	C	 Spike glycoprotein	SARS-CoV-2
7f5g	A	 Spike glycoprotein	SARS-CoV-2
7wwm	C	 Spike glycoprotein	SARS-CoV-2
7wwm	B	 Spike glycoprotein	SARS-CoV-2
7wwm	A	 Spike glycoprotein	SARS-CoV-2
7wwl	C	 Spike glycoprotein	SARS-CoV-2
7wwl	B	 Spike glycoprotein	SARS-CoV-2
7wwl	A	 Spike glycoprotein	SARS-CoV-2
7qur	C	 Spike glycoprotein	SARS-CoV-2
7qur	B	 Spike glycoprotein	SARS-CoV-2
7qur	A	 Spike glycoprotein	SARS-CoV-2
7ws1	C	 Spike glycoprotein	SARS-CoV-2
7ws1	B	 Spike glycoprotein	SARS-CoV-2
7ws1	A	 Spike glycoprotein	SARS-CoV-2
7ws0	C	 Spike glycoprotein	SARS-CoV-2
7ws0	B	 Spike glycoprotein	SARS-CoV-2
7ws0	A	 Spike glycoprotein	SARS-CoV-2
7ws3	C	 Spike glycoprotein	SARS-CoV-2
7ws3	B	 Spike glycoprotein	SARS-CoV-2
7ws3	A	 Spike glycoprotein	SARS-CoV-2
7zrc	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zrc	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zrc	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zr9	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zr9	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zr9	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zr8	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zr7	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zr7	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
7zr7	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
7ws9	C	 Spike glycoprotein	SARS-CoV-2
7ws9	B	 Spike glycoprotein	SARS-CoV-2
7ws9	A	 Spike glycoprotein	SARS-CoV-2
7ws8	C	 Spike glycoprotein	SARS-CoV-2
7ws8	B	 Spike glycoprotein	SARS-CoV-2
7ws8	A	 Spike glycoprotein	SARS-CoV-2
7ws5	C	 Spike glycoprotein	SARS-CoV-2
7ws5	B	 Spike glycoprotein	SARS-CoV-2
7ws5	A	 Spike glycoprotein	SARS-CoV-2
7ws4	C	 Spike glycoprotein	SARS-CoV-2
7ws4	B	 Spike glycoprotein	SARS-CoV-2
7ws4	A	 Spike glycoprotein	SARS-CoV-2
7ws7	B	 Spike protein S1	SARS-CoV-2
7ws2	A	 Spike protein S1	SARS-CoV-2
7zfc	E	 Spike protein S1	SARS-CoV-2
7fau	C	 Spike protein S1	SARS-CoV-2
7fau	A	 Spike protein S1	SARS-CoV-2
7qus	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
7qus	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
7qus	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
7r4r	C	 Spike glycoprotein	SARS-CoV-2
7r4r	B	 Spike glycoprotein	SARS-CoV-2
7r4r	A	 Spike glycoprotein	SARS-CoV-2
7r4q	C	 Spike glycoprotein	SARS-CoV-2
7r4q	B	 Spike glycoprotein	SARS-CoV-2
